id	occurrences	char	shape_hex
g112	1382	如	0e00000e0bfe3ffbae2ebb0e2cbb0e38eb0e39eb0e1f8b0e1fdbfe7dbbae241609000000
g113	1380	種	6b6afc7e6b800ebffebfaba86e7bac2f7ffc3fbbacbe6ba86e3ffc0e6ba90ebffe000000
g114	1374	会	00280000be0006d7906f41f92bffe806aa906aaaa9bffffe0781e06fabf83ffa78000000
g115	1372	小	002c00002c00002c00052c500b2ce01e2cb42c2c38782c2d102c0401ac0000f800000000
g116	1370	図	3ffffc3abaac3f6a6c3a5aac3be7ac39be2c38af6c3ae6ec3aaaac3ffffc38002c000000
g117	1364	哉	2aeadc3ffece02c2c4bffffe6aaae92aa6ec3ff9f83838f83ab9fa3ffbfe38075d000000
g118	1340	目	0aaaa40ffff80e00380ffff80eaab80eaab80ffff80e00380eaab80ffff80e0038000000
g119	1312	衣	002c00002c00bffffe6afba902eb241bc7f8bec2d026c1e002d8b81afc2e1fa008000000
g120	1290	仕	0283800783800b03802eaba97efffe6e03800e03800e03800e03800ebffc0e6aa8000000
g121	1290	始	2c03402c07543fca282eeebd2eefad3a80003baffc2f2eac1fac2c7deffc242eac000000
g122	1260	心	00740000be40000a0004e0200de0b82ee03c3ce02e78e04810e0e000eae000bfd0000000
g123	1230	世	0938e00e38e00e38e0bffffe6ebae90e38e00e3ae00e3fe00e00000ffffe0eaaa9000000
g124	1222	重	1abff40aac00bffffe1aaea42eaeb82ffff82eaeb81aaea42ffff86aaea9bffffe000000
g125	1218	足	0ffff00eaab00e00b00ffff00aaea0002c000e2ff80e2ea42e2c007feea925bffc000000
g126	1206	考	002c000fffdd0aaeb8bffffe6abfa906faf8bfeaa426fff803aab8002ab4002fe0000000
g127	1186	念	00280002ff806febf929aa680bffe006aad00007802aee182ec9bc7aeaee21ffd9000000
g128	1186	首	0282806aeba9bffffe0abaa00ffff00eaab00eaab00ffff00eaab00ffff00eaab0000000
g129	1144	呼	006ab8bfbfe8bb26c9bb2addbb1ee8bb6ae9bbbffebb02c0bf02c0b00ac0000b80000000
g130	1144	下	6aaaa9bffffe00b00000b10000b78000b2e000b0b400b01000b00000b00000b000000000
g131	1134	響	1dbefe7abaed2ebae9bffaee1baae82eaea46aeae96aaaa90eaab80eaab80ffff8000000
g132	1130	闘	3febfe3aebae3aebae3febfe3aa08e3aabee3bb4ce3bface3aa1ce3af7ee3a417d000000
g133	1118	伝	02aaa807bffc0b00002e6aa97ebffe6e0b000e0e100e2d780e38bc0ebffe0e6a48000000
g134	1106	程	6acaa87fdffc0b0e2cbfeffc6f9aa81faffe2feae9bb6ffc2b1ae80b2ae90b3ffe000000
g135	1100	情	0b1ae82b1ae83baffc3beae9abaaa9ab2ffc1b2eac0b2eac0b2ffc0b2cac0b2cb8000000
g136	1092	究	002c00bffffebaeaaeb2d39d2fa3fc29b1a42fffc01abac401e2ce6b82ee2e01fd000000
g137	1092	研	2a9aa93feffe0e0b382c0b382fdbb97eeffe7ecb382ecb382ece382fde382c0838000000
g138	1086	遊	24b0e079bafe2afee900e9bc68fe6cbceeb92ddffe2eeeb82eadb4bbfffd20aaa8000000
g139	1086	説	be6428692db4bf3ffc6a3aacbf382c6a3ffc6a2ee8bf1ee0bb2ce9bfb8eeba60bd000000
g140	1084	君	0aaaa00ffff06aeab9bffffe1aeab02ffff00beaa42ffff877803803fff803aab8000000
g141	1084	聞	3febfc3aebac3aebac3febfc3aaa6c3aeb6c3aff2c3aeb2c3aeb2c3bffac380bb8000000
g142	1060	口	0000003ffffc3aaaac38002c38002c38002c38002c38002c3aaaac3ffffc38002c000000
g143	1060	主	00b4000028003ffffc2aaea8002c001aaea42ffff8002c00002c006aaea9bffffe000000
